Name,Price,Mileage,Transmission,Number of Owners,Seats,Standard Payload Capacity (lbs),MPGe,Original EPA Range,EPA Time to Charge,Consumer reviews
2021 Ford Mustang Mach-E Select Hatchback,"$40,589","12,627",direct drive,1,5,nan,93,231-250 miles,8.5 hrs,4.2
2021 Ford Mustang Mach-E Select Hatchback,"$40,589","10,526",direct drive,1,5,nan,93,245-256 miles,8.5 hrs,4.2
2016 Tesla Model X 90D,"$49,990","33,373",direct drive,1,5,nan,92,237 miles,nan,3.7
2021 Volkswagen ID.4 AWD Pro S (Statement),"$39,999","13,441",direct drive,1,5,nan,93,240 miles,7.5 hrs,4.2
2020 Jaguar I-PACE HSE Hatchback,"$52,980","16,710",direct drive,1,5,nan,76,234 miles,13 hrs,4.2
2021 Ford Mustang Mach-E Select Hatchback,"$40,589","10,623",direct drive,1,5,nan,93,211 miles,8.5 hrs,4.2
2022 Ford Mustang Mach-E Select Hatchback,"$42,999","3,853",direct drive,1,5,nan,103,239-253 miles,8.1 hrs,4.3
2022 Ford Mustang Mach-E Select Hatchback,"$42,999","2,912",direct drive,1,5,nan,103,238-253 miles,8.1 hrs,4.3
2022 Polestar 2 Long Range Single Motor Hatchback,"$38,999","8,371",direct drive,1,5,nan,107,270 miles,8 hrs,3.9
2021 Hyundai Kona Electric SEL,"$26,999","25,700",direct drive,1,5,"1,047",120,258 miles,9 hrs,4.0
2020 Porsche Taycan 4S,"$90,991","17,171",automated manual,2,5,"1,396",69,203 miles,10.5 hrs,3.6
2019 Volkswagen e-Golf SE Hatchback,"$19,621","37,431",direct drive,1,5,827,119,125 miles,5.3 hrs,4.1
2015 Chevrolet Spark EV 2LT Hatchback,"$10,444","64,736",direct drive,2,4,nan,119,nan,5.3 hrs,4.8
2014 Toyota RAV4 EV Base,"$16,990","97,434",direct drive,2,5,973,76,nan,5.3 hrs,4.4
2020 Tesla Model Y Performance,"$43,999","48,171",direct drive,1,5,nan,121,268-269 miles,10 hrs,3.5
2020 Tesla Model Y Performance,"$44,988","31,893",direct drive,1,5,nan,121,272 miles,10 hrs,3.5
2016 Mercedes-Benz B-Class Electric Drive B 250e Hatchback,"$18,590","45,186",direct drive,3,5,nan,84,nan,10 hrs,4.0
2020 Chevrolet Bolt EV Premier Hatchback,"$26,712","23,999",direct drive,1,5,nan,118,243-270 miles,10 hrs,4.1
2018 Tesla Model X 100D,"$49,590","75,450",direct drive,2,5,nan,87,262 miles,12 hrs,4.1
2016 Tesla Model S P100D,"$51,990","42,429",direct drive,2,5,nan,98,293 miles,nan,4.4
2019 Hyundai Ioniq Electric Limited Hatchback,"$20,900","40,441",direct drive,1,5,"1,004",nan,124 miles,4 hrs,5.0
2021 Nissan LEAF SV PLUS Hatchback,"$24,997","32,060",direct drive,1,5,958,104,215 miles,11 hrs,4.3
2021 Audi e-tron Prestige,"$57,990","21,100",direct drive,1,5,nan,78,210-220 miles,10 hrs,3.2
2019 Hyundai Kona Electric Ultimate,"$27,199","26,960",direct drive,1,5,nan,120,258 miles,9 hrs,4.7
2016 Mercedes-Benz B-Class Electric Drive B 250e Hatchback,"$18,590","56,644",direct drive,3,5,nan,84,nan,9 hrs,4.0
2021 Tesla Model Y Long Range,"$49,589","17,002",direct drive,2,5,nan,125,298 miles,10 hrs,3.8
2016 Volkswagen e-Golf SEL Premium Hatchback,"$14,742","53,765",direct drive,2,5,899,116,nan,10 hrs,3.8
2019 Audi e-tron Premium Plus quattro,"$39,489","25,340",direct drive,1,5,nan,nan,203-214 miles,nan,4.0
2021 Tesla Model 3 Standard Range Plus,"$36,590","25,854",direct drive,1,5,nan,nan,240 miles,7.8 hrs,4.3
2019 Hyundai Ioniq Electric Limited Hatchback,"$21,550","46,032",direct drive,1,5,"1,004",nan,124 miles,4 hrs,5.0
2022 Audi e-tron Premium Plus,"$53,997","15,729",direct drive,1,5,nan,78,222 miles,10 hrs,3.3
2014 Chevrolet Spark EV 2LT Hatchback,"$10,990","23,466",direct drive,3,4,nan,119,nan,10 hrs,4.7
2019 Audi e-tron Premium Plus quattro,"$37,495","35,364",direct drive,1,5,nan,nan,204-215 miles,nan,4.0
2021 Ford Mustang Mach-E Select Hatchback,"$33,985","33,996",direct drive,1,5,nan,100,236-252 miles,8.8 hrs,4.2
2019 Tesla Model X Long Range,"$62,999","24,937",direct drive,2,5,nan,nan,294 miles,nan,4.0
2021 MINI Hardtop 2 Door Cooper SE Hatchback,"$27,590","8,197",direct drive,1,4,728,108,110 miles,4 hrs,4.4
2019 Tesla Model 3 Mid Range,"$32,990","40,458",direct drive,2,5,nan,123,232-233 miles,10 hrs,4.6
2021 Tesla Model Y Long Range,"$49,589","20,448",direct drive,2,5,nan,125,296 miles,10 hrs,3.8
2021 Tesla Model Y Long Range,"$45,883","30,521",direct drive,1,5,nan,125,297 miles,10 hrs,3.8
2020 Tesla Model Y Long Range,"$44,990","31,168",direct drive,2,5,nan,121,288 miles,10 hrs,3.5
2022 Tesla Model Y Performance,"$55,425","5,498",direct drive,1,5,nan,111,288 miles,11.8 hrs,3.7
2020 Hyundai Ioniq Electric Limited Hatchback,"$25,687","8,845",direct drive,1,5,855,nan,170 miles,5.8 hrs,5.0
2021 Chevrolet Bolt EV Premier Hatchback,"$25,999","32,120",direct drive,1,5,nan,118,213-242 miles,10 hrs,4.2
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$27,990","6,922",direct drive,2,4,743,110,114 miles,4 hrs,4.4
2020 Chevrolet Bolt EV LT Hatchback,"$24,589","31,334",direct drive,1,5,nan,118,224-249 miles,10 hrs,4.1
2017 Nissan LEAF S Hatchback,"$16,590","21,850",direct drive,1,5,"1,108",112,96-104 miles,6 hrs,4.4
2022 Tesla Model S Base,"$78,990","10,927",direct drive,1,5,nan,120,383 miles,15 hrs,3.2
2019 Kia Niro EV EX,"$25,376","31,625",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.7
2019 Tesla Model 3 Standard Range Plus,"$31,999","36,635",direct drive,1,5,nan,nan,213-214 miles,9.5 hrs,4.6
2015 Volkswagen e-Golf SEL Premium Hatchback,"$12,990","85,895",direct drive,2,5,930,116,nan,9.5 hrs,3.8
2018 Tesla Model 3 Long Range,"$35,888","25,283",direct drive,1,5,nan,nan,289-290 miles,10 hrs,4.8
2022 Ford E-Transit Cargo Van 350 Medium Roof,"$50,990","4,131",direct drive,1,2,"3,628",nan,nan,10 hrs,4.0
2021 Ford Mustang Mach-E Premium Hatchback,"$40,590","46,622",direct drive,1,5,nan,93,270 miles,10.7 hrs,4.2
2016 smart fortwo electric drive coupe Hatchback,"$14,990","20,874",direct drive,2,2,419,107,nan,10.7 hrs,4.1
2020 Tesla Model 3 Standard Range Plus,"$33,188","37,228",direct drive,1,5,nan,nan,250 miles,8.5 hrs,4.1
2022 Mazda MX-30 Premium Plus,"$30,990","4,790",direct drive,1,5,nan,92,100 miles,5.3 hrs,nan
2015 Nissan LEAF S Hatchback,"$14,590","24,926",direct drive,2,5,950,114,77-81 miles,nan,4.5
2019 Tesla Model X P100D,"$62,558","52,384",direct drive,1,5,nan,85,271-272 miles,12 hrs,4.0
2021 Ford Mustang Mach-E Premium Hatchback,"$43,999","29,919",direct drive,1,5,nan,93,231-248 miles,10.7 hrs,4.2
2020 Porsche Taycan Turbo,"$129,991","9,287",automated manual,1,4,"1,217",69,201 miles,10 hrs,3.6
2022 Ford Mustang Mach-E Select Hatchback,"$43,999","4,860",direct drive,1,5,nan,93,Edmunds considers this used vehicle a Fair Price because the price is within the market average for similar vehicles in your region.,8 hrs,4.3
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$28,990","12,092",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2021 Tesla Model X Long Range,"$80,590","3,974",direct drive,1,5,nan,105,352-353 miles,15 hrs,3.3
2018 Tesla Model 3 Long Range,"$31,998","53,752",direct drive,1,5,nan,nan,287-288 miles,10 hrs,4.8
2020 Nissan LEAF SL PLUS Hatchback,"$25,990","20,713",direct drive,1,5,904,104,218-228 miles,11.5 hrs,4.3
2022 Ford Mustang Mach-E GT Hatchback,"$55,590","10,586",direct drive,1,5,nan,84,248-274 miles,10.3 hrs,4.3
2022 Tesla Model 3 Long Range,"$45,933","10,885",direct drive,1,5,nan,nan,358 miles,11.5 hrs,4.1
2020 Chevrolet Bolt EV Premier Hatchback,"$27,589","8,563",direct drive,1,5,nan,118,232-259 miles,10 hrs,4.1
2022 Kia Niro EV S,"$31,550","5,800",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.2
2022 Ford Mustang Mach-E GT Hatchback,"$59,337","8,973",direct drive,1,5,nan,84,261-280 miles,10.3 hrs,4.3
2022 Polestar 2 Long Range Single Motor Hatchback,"$40,590","1,229",direct drive,1,5,nan,107,270 miles,8 hrs,3.9
2023 Tesla Model 3 Base,"$41,990","4,992",direct drive,1,5,nan,nan,268 miles,10.4 hrs,3.9
2022 BMW i4 eDrive40,"$55,380","4,209",direct drive,1,5,933,109,301 miles,nan,nan
2022 Tesla Model S Base,"$79,990","4,841",direct drive,1,5,nan,120,386 miles,15 hrs,3.2
2022 Tesla Model 3 Long Range,"$48,590","3,512",direct drive,1,5,nan,nan,345-346 miles,11.5 hrs,4.1
2023 Polestar 2 Long Range Dual Motor Hatchback,"$56,590","6,139",direct drive,1,5,nan,100,260 miles,8 hrs,3.7
2022 Tesla Model 3 Long Range,"$45,990","13,136",direct drive,1,5,nan,nan,339-340 miles,11.5 hrs,4.1
2021 Tesla Model S Base,"$75,990","7,193",direct drive,1,5,nan,120,381-382 miles,15 hrs,3.1
2022 Tesla Model 3 Long Range,"$45,990","7,930",direct drive,1,5,nan,nan,342-343 miles,11.5 hrs,4.1
2015 Chevrolet Spark EV 2LT Hatchback,"$11,590","41,085",direct drive,3,4,nan,119,nan,11.5 hrs,4.8
2019 Nissan LEAF SV Hatchback,"$22,590","24,882",direct drive,1,5,985,112,138-146 miles,8 hrs,4.6
2022 Ford E-Transit Cargo Van 350 Medium Roof,"$50,990","8,379",direct drive,1,2,"3,628",nan,nan,8 hrs,4.0
2022 Ford Mustang Mach-E GT Hatchback,"$58,790","9,098",direct drive,1,5,nan,84,261-280 miles,10.3 hrs,4.3
2018 Tesla Model 3 Mid Range,"$33,000","39,218",direct drive,1,5,nan,123,255-256 miles,10 hrs,4.8
2023 Ford F-150 Lightning Lariat SuperCrew,"$85,995","1,286",direct drive,1,5,"2,000",68,240 miles,11.9 hrs,4.3
2022 Kia Niro EV EX,"$31,499","2,822",direct drive,1,5,"1,062",112,Edmunds considers this used vehicle a Fair Price because the price is within the market average for similar vehicles in your region.,9.5 hrs,4.2
2022 Audi e-tron Sportback Premium Plus S line,"$61,990","9,593",direct drive,1,5,"1,058",77,212-226 miles,10 hrs,3.7
2019 Tesla Model X P100D,"$69,990","25,072",direct drive,2,5,nan,85,280 miles,12 hrs,4.0
2022 Tesla Model X Base,"$92,590","10,462",direct drive,1,5,nan,102,332 miles,14 hrs,3.2
2017 Chevrolet Bolt EV LT Hatchback,"$21,590","26,475",direct drive,1,5,nan,119,251-276 miles,9.3 hrs,4.4
2022 Ford Mustang Mach-E Premium Hatchback,"$43,999","4,284",direct drive,1,5,nan,103,248-262 miles,8.1 hrs,4.3
2021 Hyundai Ioniq Electric Limited Hatchback,"$27,999","7,905",direct drive,1,5,855,nan,170 miles,5.8 hrs,4.8
2018 Nissan LEAF SV Hatchback,"$19,990","30,820",direct drive,3,5,985,112,139-146 miles,nan,4.4
2022 Ford Mustang Mach-E Select Hatchback,"$43,999","3,722",direct drive,1,5,nan,93,232-249 miles,8 hrs,4.3
2022 Tesla Model 3 Long Range,"$44,990","11,872",direct drive,1,5,nan,nan,340 miles,11.5 hrs,4.1
2022 Ford Mustang Mach-E Select Hatchback,"$42,999","7,951",direct drive,1,5,nan,93,234-250 miles,8 hrs,4.3
2018 Chevrolet Bolt EV Premier Hatchback,"$24,990","22,040",direct drive,1,5,nan,119,220-254 miles,9.3 hrs,4.5
2022 Chevrolet Bolt EV 2LT Hatchback,"$29,999","12,161",direct drive,2,5,nan,120,240-270 miles,7.5 hrs,4.3
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$31,589","7,863",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2019 Jaguar I-PACE SE Hatchback,"$38,590","42,833",direct drive,1,5,nan,76,234 miles,13 hrs,4.0
2023 Porsche Taycan GTS,"$157,999","1,586",automated manual,1,4,"1,206",83,246 miles,10.5 hrs,3.9
2016 Tesla Model S P90D,"$48,590","36,778",direct drive,1,5,nan,95,264 miles,nan,4.4
2018 Nissan LEAF SL Hatchback,"$21,590","28,060",direct drive,1,5,945,112,139-149 miles,nan,4.4
2018 Tesla Model 3 Long Range,"$29,990","85,439",direct drive,2,5,nan,nan,285 miles,10 hrs,4.8
2021 MINI Hardtop 2 Door Cooper SE Hatchback,"$26,590","15,451",direct drive,nan,4,728,108,110 miles,4 hrs,4.4
2016 Nissan LEAF SV Hatchback,"$15,590","30,596",direct drive,3,5,986,112,nan,4 hrs,4.4
2022 Hyundai IONIQ 5 SEL,"$43,999","3,674",direct drive,1,5,938,98,256 miles,8.5 hrs,4.5
2019 Audi e-tron Prestige quattro,"$47,994","11,134",direct drive,1,5,nan,nan,204-212 miles,nan,4.0
2021 Ford Mustang Mach-E Select Hatchback,"$41,589","7,724",direct drive,1,5,nan,93,238-251 miles,8.5 hrs,4.2
2017 Nissan LEAF S Hatchback,"$13,500","37,347",direct drive,1,5,"1,108",112,118-121 miles,6 hrs,4.4
2018 Tesla Model 3 Long Range,"$35,990","47,832",direct drive,1,5,nan,116,288-289 miles,10 hrs,4.8
2019 Audi e-tron Premium Plus quattro,"$40,589","32,299",direct drive,1,5,nan,nan,204-214 miles,nan,4.0
2023 Genesis GV60 Performance,"$61,590","14,214",direct drive,1,5,nan,90,235 miles,7.2 hrs,4.8
2018 FIAT 500e Battery Electric Hatchback,"$15,994","38,119",direct drive,2,4,nan,112,84 miles,4 hrs,4.1
2019 Audi e-tron Premium Plus quattro,"$38,303","39,858",direct drive,2,5,nan,nan,196-211 miles,nan,4.0
2022 Ford Mustang Mach-E Select Hatchback,"$43,999","1,214",direct drive,1,5,nan,93,230-247 miles,8 hrs,4.3
2022 Kia Niro EV EX Premium,"$35,999","9,330",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.2
2016 Tesla Model S P90D,"$42,807","64,112",direct drive,3,5,nan,95,261 miles,nan,4.4
2022 Ford Mustang Mach-E Select Hatchback,"$42,999","7,292",direct drive,1,5,nan,93,233-250 miles,8 hrs,4.3
2022 Chevrolet Bolt EUV Premier Hatchback,"$34,999","4,029",direct drive,1,5,nan,115,232-255 miles,7.5 hrs,4.2
2018 Tesla Model 3 Long Range,"$33,990","41,180",direct drive,1,5,nan,nan,288-289 miles,10 hrs,4.8
2019 Hyundai Ioniq Electric Limited Hatchback,"$23,990","21,861",direct drive,2,5,"1,004",nan,124 miles,4 hrs,5.0
2022 Audi e-tron Sportback Premium S line,"$55,896","14,976",direct drive,1,5,"1,058",77,211-224 miles,10 hrs,3.7
2019 Kia Niro EV EX Premium,"$28,550","19,785",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.7
2020 Tesla Model Y Long Range,"$43,488","41,724",direct drive,1,5,nan,121,289 miles,10 hrs,3.5
2019 Tesla Model S 75D,"$49,999","17,536",direct drive,1,5,nan,103,268-269 miles,12 hrs,4.1
2014 BMW i3 Base Hatchback,"$16,590","41,503",direct drive,4,4,937,124,67-75 miles,nan,3.6
2016 Tesla Model X 75D,"$41,990","73,609",direct drive,1,5,nan,nan,nan,nan,3.7
2020 Tesla Model 3 Long Range,"$40,589","10,986",direct drive,1,5,nan,121,292-293 miles,10 hrs,4.1
2019 Tesla Model 3 Standard Range,"$31,500","44,301",direct drive,1,5,nan,nan,216 miles,nan,4.6
2022 Tesla Model 3 Base,"$41,590","11,730",direct drive,1,5,nan,nan,261-262 miles,10.4 hrs,4.1
2020 Tesla Model 3 Long Range,"$35,990","43,768",direct drive,1,5,nan,121,287-288 miles,10 hrs,4.1
2022 Ford Mustang Mach-E Select Hatchback,"$42,589","9,449",direct drive,1,5,nan,103,238-253 miles,8.1 hrs,4.3
2021 Ford Mustang Mach-E Select Hatchback,"$40,589","10,290",direct drive,1,5,nan,93,245-257 miles,8.5 hrs,4.2
2019 Hyundai Kona Electric Limited,"$26,999","20,700",direct drive,2,5,nan,120,258 miles,9 hrs,4.7
2017 Kia Soul EV +,"$16,590","49,395",direct drive,3,5,"1,032",105,nan,9 hrs,4.2
2016 Nissan LEAF S Hatchback,"$11,916","53,290",direct drive,1,5,"1,021",114,80-83 miles,nan,4.4
2020 Jaguar I-PACE SE Hatchback,"$47,990","18,843",direct drive,1,5,nan,76,234 miles,13 hrs,4.2
2017 Nissan LEAF SV Hatchback,"$17,590","36,281",direct drive,1,5,"1,045",112,107 miles,6 hrs,4.4
2014 BMW i3 Base Hatchback,"$16,590","54,593",direct drive,3,4,937,124,65-73 miles,nan,3.6
2018 Tesla Model S 75D,"$36,978","74,180",direct drive,3,5,nan,103,259 miles,12 hrs,4.3
2019 Tesla Model 3 Standard Range Plus,"$29,999","63,240",direct drive,1,5,nan,nan,216-217 miles,9.5 hrs,4.6
2020 Tesla Model 3 Standard Range Plus,"$32,513","47,078",direct drive,2,5,nan,nan,250 miles,8.5 hrs,4.1
2017 Kia Soul EV +,"$18,590","35,838",direct drive,2,5,"1,032",105,nan,8.5 hrs,4.2
2015 Volkswagen e-Golf SEL Premium Hatchback,"$14,150","66,363",direct drive,2,5,930,116,nan,8.5 hrs,3.8
2021 Ford Mustang Mach-E Premium Hatchback,"$48,999","15,150",direct drive,1,5,nan,93,244-254 miles,10.7 hrs,4.2
2021 Tesla Model Y Long Range,"$48,589","14,298",direct drive,1,5,nan,125,300-301 miles,10 hrs,3.8
2018 Tesla Model X 75D,"$51,589","39,573",direct drive,1,5,nan,93,221 miles,12 hrs,4.1
2014 Tesla Model S P85,"$32,999","38,337",direct drive,2,5,nan,88,249-251 miles,nan,4.5
2020 Tesla Model 3 Performance,"$43,999","13,198",direct drive,2,5,nan,113,276-277 miles,10 hrs,4.1
2017 Tesla Model X 100D,"$60,590","20,175",direct drive,1,5,nan,87,268 miles,nan,3.9
2018 Chevrolet Bolt EV Premier Hatchback,"$23,990","31,087",direct drive,2,5,nan,119,214-248 miles,9.3 hrs,4.5
2022 Tesla Model Y Performance,"$53,589","18,217",direct drive,1,5,nan,111,281-282 miles,11.8 hrs,3.7
2017 Chevrolet Bolt EV Premier Hatchback,"$22,000","36,322",direct drive,2,5,nan,119,229-253 miles,9.3 hrs,4.4
2019 Nissan LEAF SV PLUS Hatchback,"$20,990","62,580",direct drive,1,5,940,104,195-204 miles,11.5 hrs,4.6
2019 Audi e-tron Premium Plus quattro,"$40,997","19,475",direct drive,1,5,nan,nan,201-213 miles,nan,4.0
2016 Kia Soul EV Base,"$16,590","42,246",direct drive,2,5,"1,032",105,nan,nan,4.3
2017 Chevrolet Bolt EV LT Hatchback,"$20,590","41,492",direct drive,2,5,nan,119,236-262 miles,9.3 hrs,4.4
2014 Toyota RAV4 EV Base,"$18,590","70,209",direct drive,3,5,973,76,nan,9.3 hrs,4.4
2019 Tesla Model 3 Mid Range,"$35,990","21,956",direct drive,2,5,nan,123,264 miles,10 hrs,4.6
2021 Tesla Model Y Performance,"$50,589","17,135",direct drive,1,5,nan,111,276-277 miles,11.8 hrs,3.8
2015 BMW i3 Base Hatchback,"$17,990","42,165",direct drive,2,4,715,124,67-75 miles,nan,4.1
2021 Tesla Model 3 Standard Range Plus,"$37,990","22,202",direct drive,1,5,nan,nan,263 miles,7.8 hrs,4.3
2019 Tesla Model S Performance,"$62,990","23,104",direct drive,1,5,nan,104,333-334 miles,12 hrs,4.1
2015 Nissan LEAF SV Hatchback,"$14,590","50,356",direct drive,2,5,917,114,79-82 miles,nan,4.5
2020 Hyundai Ioniq Electric Limited Hatchback,"$21,974","51,691",direct drive,1,5,855,nan,170 miles,5.8 hrs,5.0
2018 Nissan LEAF SV Hatchback,"$19,000","42,161",direct drive,2,5,985,112,136-145 miles,nan,4.4
2017 Chevrolet Bolt EV Premier Hatchback,"$21,990","43,387",direct drive,1,5,nan,119,203-238 miles,9.3 hrs,4.4
2020 Tesla Model Y Long Range,"$44,589","20,549",direct drive,1,5,nan,121,293-294 miles,10 hrs,3.5
2021 Ford Mustang Mach-E Premium Hatchback,"$47,999","20,784",direct drive,1,5,nan,93,245-255 miles,10.7 hrs,4.2
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$27,990","29,850",direct drive,2,4,743,110,114 miles,4 hrs,4.4
2015 Chevrolet Spark EV 2LT Hatchback,"$10,999","61,566",direct drive,3,4,nan,119,nan,4 hrs,4.8
2023 Audi e-tron Premium,"$66,991","1,922",direct drive,1,5,nan,78,222 miles,10 hrs,3.3
2015 smart fortwo electric drive cabriolet Convertible,"$13,990","20,508",direct drive,2,2,397,107,nan,10 hrs,4.0
2021 Hyundai Kona Electric Ultimate,"$29,999","24,001",direct drive,1,5,926,120,258 miles,9 hrs,4.0
2019 Tesla Model 3 Long Range,"$37,590","28,039",direct drive,2,5,nan,116,284-285 miles,10 hrs,4.6
2018 Nissan LEAF SV Hatchback,"$19,990","51,057",direct drive,1,5,985,112,nan,10 hrs,4.4
2018 Nissan LEAF SL Hatchback,"$20,590","46,308",direct drive,1,5,945,112,130-137 miles,nan,4.4
2021 Hyundai Kona Electric Limited,"$27,999","32,279",direct drive,1,5,992,120,258 miles,9 hrs,4.0
2018 Nissan LEAF SL Hatchback,"$20,990","46,547",direct drive,1,5,945,112,135-142 miles,nan,4.4
2021 Hyundai Kona Electric Ultimate,"$30,477","28,885",direct drive,1,5,926,120,258 miles,9 hrs,4.0
2019 Volkswagen e-Golf SE Hatchback,"$19,999","43,705",direct drive,1,5,827,119,125 miles,5.3 hrs,4.1
2021 Tesla Model 3 Long Range,"$42,590","27,135",direct drive,1,5,nan,nan,331-332 miles,11.2 hrs,4.3
2021 Hyundai Kona Electric Ultimate,"$29,999","34,620",direct drive,1,5,926,120,258 miles,9 hrs,4.0
2020 Tesla Model Y Long Range,"$47,589","25,438",direct drive,1,5,nan,121,292 miles,10 hrs,3.5
2017 Chevrolet Bolt EV Premier Hatchback,"$21,999","51,165",direct drive,2,5,nan,119,238-263 miles,9.3 hrs,4.4
2021 Ford Mustang Mach-E Premium Hatchback,"$46,589","29,140",direct drive,1,5,nan,93,244-254 miles,10.7 hrs,4.2
2021 Hyundai Kona Electric Limited,"$27,999","33,990",direct drive,1,5,992,120,258 miles,9 hrs,4.0
2017 Tesla Model S 75,"$35,500","65,662",direct drive,2,5,nan,98,223 miles,nan,4.5
2019 Tesla Model 3 Mid Range,"$32,350","35,395",direct drive,1,5,nan,123,236-237 miles,10 hrs,4.6
2013 Tesla Model S Base,"$29,990","54,711",direct drive,5,5,nan,95,193 miles,nan,4.5
2019 Tesla Model 3 Long Range,"$37,990","35,547",direct drive,3,5,nan,116,282-283 miles,10 hrs,4.6
2021 Hyundai Kona Electric Ultimate,"$29,999","27,266",direct drive,1,5,926,120,258 miles,9 hrs,4.0
2019 Nissan LEAF SL Hatchback,"$23,990","19,431",direct drive,1,5,945,112,145-152 miles,8 hrs,4.6
2021 Audi e-tron Premium,"$45,926","8,601",direct drive,1,5,nan,78,222 miles,10 hrs,3.2
2019 Tesla Model 3 Long Range,"$36,990","38,798",direct drive,1,5,nan,116,281-283 miles,10 hrs,4.6
2017 Tesla Model S 75,"$37,990","49,047",direct drive,1,5,nan,98,224-225 miles,nan,4.5
2022 Hyundai IONIQ 5 SE,"$36,785","40,600",direct drive,1,5,943,114,303 miles,8.5 hrs,4.5
2019 Tesla Model 3 Standard Range Plus,"$33,990","43,082",direct drive,2,5,nan,nan,240 miles,9.5 hrs,4.6
2019 Tesla Model 3 Standard Range Plus,"$32,590","45,478",direct drive,1,5,nan,nan,216-217 miles,9.5 hrs,4.6
2019 Tesla Model 3 Standard Range Plus,"$31,590","54,990",direct drive,1,5,nan,nan,216 miles,9.5 hrs,4.6
2020 Tesla Model 3 Standard Range Plus,"$35,990","31,424",direct drive,1,5,nan,nan,250 miles,8.5 hrs,4.1
2018 Tesla Model 3 Long Range,"$31,590","71,140",direct drive,nan,5,nan,nan,286-287 miles,10 hrs,4.8
2015 Tesla Model S 70D,"$31,590","68,818",direct drive,3,5,nan,101,224 miles,nan,4.7
2019 Tesla Model 3 Standard Range Plus,"$32,000","61,370",direct drive,2,5,nan,nan,216-217 miles,9.5 hrs,4.6
2021 Nissan LEAF S Hatchback,"$20,991",785,direct drive,1,5,"1,007",111,147-156 miles,8 hrs,4.3
