Name,Price,Mileage,Transmission,Number of Owners,Seats,Standard Payload Capacity (lbs),MPGe,Original EPA Range,EPA Time to Charge,Consumer reviews
2021 Tesla Model Y Long Range,"$45,589","34,866",direct drive,1,5,nan,125,284-285 miles,10 hrs,3.8
2014 Nissan LEAF S Hatchback,"$14,990","18,137",direct drive,3,5,951,114,77-80 miles,nan,4.1
2019 Audi e-tron Prestige quattro,"$43,524","45,429",direct drive,1,5,nan,nan,200-211 miles,nan,4.0
2017 smart fortwo electric drive passion Hatchback,"$11,990","11,048",direct drive,2,2,nan,108,58 miles,3 hrs,4.2
2018 Tesla Model 3 Mid Range,"$34,589","42,597",direct drive,1,5,nan,123,258-259 miles,10 hrs,4.8
2023 Nissan LEAF S Hatchback,"$23,988",118,direct drive,1,5,999,111,160-168 miles,8 hrs,4.2
2012 Nissan LEAF SL Hatchback,"$10,990","50,709",direct drive,3,5,nan,99,56-59 miles,nan,4.0
2017 Tesla Model X 100D,"$51,999","54,506",direct drive,1,5,nan,87,260 miles,nan,3.9
2014 Ford Focus Electric Hatchback,"$13,590","42,930",direct drive,1,5,nan,105,nan,nan,2.3
2019 Tesla Model 3 Standard Range Plus,"$31,999","47,944",direct drive,1,5,nan,nan,213-214 miles,9.5 hrs,4.6
2020 Hyundai Ioniq Electric Limited Hatchback,"$27,590","4,528",direct drive,2,5,855,nan,170 miles,5.8 hrs,5.0
2018 Tesla Model X 75D,"$49,589","55,634",direct drive,1,5,nan,93,219 miles,12 hrs,4.1
2016 BMW i3 Base Hatchback,"$18,590","23,987",direct drive,3,4,715,124,66-74 miles,nan,4.6
2017 Nissan LEAF SL Hatchback,"$18,590","25,595",direct drive,2,5,"1,026",112,119-122 miles,6 hrs,4.4
2021 Nissan LEAF S Hatchback,"$22,499","7,714",direct drive,1,5,"1,007",111,152-161 miles,8 hrs,4.3
2018 Nissan LEAF SL Hatchback,"$23,990","14,379",direct drive,1,5,945,112,142-151 miles,nan,4.4
2014 BMW i3 Base Hatchback,"$16,590","24,665",direct drive,2,4,937,124,67-76 miles,nan,3.6
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$28,990","4,899",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2018 Tesla Model 3 Performance,"$44,590","29,382",direct drive,1,5,nan,116,310 miles,10 hrs,4.8
2015 smart fortwo electric drive coupe Hatchback,"$12,999","18,812",direct drive,1,2,419,107,nan,10 hrs,4.0
2013 Nissan LEAF SV Hatchback,"$11,990","28,600",direct drive,3,5,902,115,73-75 miles,nan,4.1
2021 Volkswagen ID.4 Pro S (Statement),"$36,997","34,149",direct drive,1,5,nan,97,250 miles,7.5 hrs,4.2
2020 Nissan LEAF S Hatchback,"$19,195","24,272",direct drive,1,5,"1,213",111,142-151 miles,7.5 hrs,4.3
2015 Nissan LEAF S Hatchback,"$14,990","26,817",direct drive,4,5,950,114,74-79 miles,nan,4.5
2022 Nissan LEAF S Hatchback,"$24,590","15,710",direct drive,1,5,992,111,149 miles,8 hrs,4.1
2022 Hyundai Kona Electric SEL,"$34,590","3,708",direct drive,1,5,"1,047",120,258 miles,9.5 hrs,3.5
2023 Tesla Model 3 Base,"$42,990",897,direct drive,1,5,nan,nan,270-271 miles,10.4 hrs,3.9
2022 Audi Q4 Sportback e-tron Premium Plus,"$54,990","4,040",direct drive,1,5,937,95,241 miles,9 hrs,nan
2023 Kia EV6 Wind,"$44,512",183,direct drive,0,5,"1,080",117,232 miles,6.3 hrs,4.2
2021 MINI Hardtop 2 Door Cooper SE Hatchback,"$29,398","7,117",direct drive,2,4,728,108,110 miles,4 hrs,4.4
2020 Chevrolet Bolt EV LT Hatchback,"$28,500","9,626",direct drive,1,5,nan,118,232-259 miles,10 hrs,4.1
2022 Polestar 2 Long Range Dual Motor Hatchback,"$44,590","4,081",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2018 smart fortwo electric drive pure Hatchback,"$16,743","27,674",direct drive,3,2,nan,108,58 miles,3 hrs,4.1
2015 Nissan LEAF S Hatchback,"$13,590","28,198",direct drive,2,5,950,114,76-81 miles,nan,4.5
2022 Kia Niro EV EX Premium,"$35,990","7,673",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.2
2023 MINI Hardtop 2 Door Cooper SE Signature Hatchback,"$30,590",703,direct drive,1,4,nan,nan,nan,9.5 hrs,4.4
2016 Volkswagen e-Golf SE Hatchback,"$17,590","27,657",direct drive,4,5,939,116,nan,9.5 hrs,3.8
2022 Volvo C40 Recharge Ultimate Hatchback,"$46,990","9,251",direct drive,1,5,nan,87,226 miles,8 hrs,nan
2023 Tesla Model 3 Base,"$44,990","9,389",direct drive,1,5,nan,nan,266-267 miles,10.4 hrs,3.9
2022 Mazda MX-30 Premium Plus,"$31,590","6,364",direct drive,1,5,nan,92,100 miles,5.3 hrs,nan
2022 Mazda MX-30 Premium Plus,"$31,990","4,611",direct drive,2,5,nan,92,100 miles,5.3 hrs,nan
2022 Mazda MX-30 Premium Plus,"$31,990","4,360",direct drive,1,5,nan,92,100 miles,5.3 hrs,nan
2021 Hyundai Ioniq Electric Limited Hatchback,"$29,999","5,791",direct drive,1,5,855,nan,170 miles,5.8 hrs,4.8
2018 Tesla Model 3 Performance,"$40,990","32,537",direct drive,1,5,nan,116,259 miles,10 hrs,4.8
2016 Nissan LEAF S Hatchback,"$14,990","48,705",direct drive,2,5,"1,021",114,81-84 miles,nan,4.4
2016 Chevrolet Spark EV 2LT Hatchback,"$15,999","29,467",direct drive,2,4,nan,119,nan,nan,4.8
2018 Kia Soul EV Base,"$17,999","25,558",direct drive,3,5,"1,032",108,111 miles,5 hrs,4.4
2023 MINI Hardtop 2 Door Cooper SE Hatchback,"$33,590",962,direct drive,1,4,nan,nan,nan,5 hrs,4.4
2022 Tesla Model Y Long Range,"$57,990","5,955",direct drive,1,5,nan,122,314-315 miles,11.5 hrs,3.7
2019 Nissan LEAF SL PLUS Hatchback,"$26,590","16,289",direct drive,1,5,898,104,209-220 miles,11.5 hrs,4.6
2018 Nissan LEAF SL Hatchback,"$22,590","22,510",direct drive,1,5,945,112,140-148 miles,nan,4.4
2021 Volkswagen ID.4 Pro,"$35,990","1,170",direct drive,1,5,nan,99,260 miles,7.5 hrs,4.2
2023 Chevrolet Bolt EUV Premier Hatchback,"$34,997","8,662",direct drive,1,5,nan,115,238-267 miles,7.5 hrs,4.4
2022 Audi e-tron Sportback Premium S line,"$58,372","4,425",direct drive,1,5,"1,058",77,218 miles,10 hrs,3.7
2023 Audi Q4 e-tron Premium Plus,"$55,990","6,835",direct drive,1,5,nan,93,236 miles,9 hrs,3.4
2022 Audi e-tron Sportback Premium Plus S line,"$56,769",16,direct drive,1,5,"1,058",77,215-224 miles,10 hrs,3.7
2022 Volkswagen ID.4 Pro,"$39,990",982,direct drive,1,5,937,107,275 miles,7.5 hrs,4.2
2023 Volvo C40 Recharge Twin Pure Electric Plus Hatchback,"$52,990","3,611",direct drive,1,5,nan,87,226 miles,8 hrs,nan
2022 Kia EV6 Wind,"$44,990","5,611",direct drive,1,5,937,117,310 miles,8.7 hrs,4.3
2022 Lucid Air Grand Touring,"$103,967",873,direct drive,1,5,nan,121,469 miles,13 hrs,3.5
2023 Ford Mustang Mach-E Premium Hatchback,"$52,550","4,502",direct drive,1,5,nan,103,241-263 miles,8.1 hrs,4.3
2022 Volkswagen ID.4 AWD Pro,"$40,997","4,596",direct drive,1,5,937,101,251 miles,7.5 hrs,4.2
2023 Audi e-tron Sportback Premium S line,"$63,925",98,direct drive,0,5,"1,058",78,218 miles,10 hrs,3.7
2022 Tesla Model 3 Base,"$42,990","4,780",direct drive,1,5,nan,nan,272 miles,10.4 hrs,4.1
2022 Tesla Model 3 Base,"$43,990","3,714",direct drive,1,5,nan,nan,263-264 miles,10.4 hrs,4.1
2023 Tesla Model 3 Base,"$43,990",811,direct drive,1,5,nan,nan,271 miles,10.4 hrs,3.9
2023 Subaru Solterra Touring,"$51,590",752,direct drive,1,5,nan,102,222 miles,11 hrs,3.5
2022 Tesla Model X Base,"$98,590","2,691",direct drive,1,5,nan,102,336 miles,14 hrs,3.2
2023 Hyundai IONIQ 5 SEL,"$46,990","3,375",direct drive,1,5,943,114,303 miles,8.5 hrs,4.6
2023 Tesla Model 3 Base,"$46,990",814,direct drive,1,5,nan,nan,271 miles,10.4 hrs,3.9
2022 Tesla Model 3 Performance,"$52,990","4,245",direct drive,1,5,nan,113,300-301 miles,10 hrs,4.1
2022 Audi e-tron S Premium Plus,"$71,281",85,direct drive,0,5,"1,014",73,208 miles,10 hrs,4.0
2022 Tesla Model X Base,"$98,990","1,202",direct drive,2,5,nan,102,335-336 miles,14 hrs,3.2
2015 BMW i3 Base Hatchback,"$14,784","44,220",direct drive,3,4,715,124,68-75 miles,nan,4.1
2022 Tesla Model X Base,"$95,590","6,033",direct drive,1,5,nan,102,335 miles,14 hrs,3.2
2022 Tesla Model Y Long Range,"$55,990","6,567",direct drive,1,5,nan,122,314 miles,11.5 hrs,3.7
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$28,990","14,417",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2023 Audi Q4 Sportback e-tron Prestige,"$60,483","3,369",direct drive,1,5,nan,95,242 miles,9 hrs,nan
2022 Tesla Model 3 Base,"$42,590","8,745",direct drive,1,5,nan,nan,272 miles,10.4 hrs,4.1
2019 Audi e-tron Prestige quattro,"$51,590","8,199",direct drive,1,5,nan,nan,203-214 miles,nan,4.0
2022 Hyundai IONIQ 5 SE,"$39,990","8,553",direct drive,1,5,943,114,303 miles,8.5 hrs,4.5
2014 Nissan LEAF SL Hatchback,"$13,990","32,798",direct drive,1,5,867,114,nan,8.5 hrs,4.1
2022 Audi e-tron S Premium Plus,"$71,980","8,509",direct drive,1,5,"1,014",73,208 miles,10 hrs,4.0
2022 Tesla Model 3 Base,"$42,590","9,050",direct drive,1,5,nan,nan,261-262 miles,10.4 hrs,4.1
2023 Toyota bZ4X XLE,"$39,195",73,direct drive,0,5,"1,169",119,252 miles,nan,3.5
2018 Tesla Model X 100D,"$68,990","9,370",direct drive,1,5,nan,87,279 miles,12 hrs,4.1
2021 Volkswagen ID.4 Pro S (Statement),"$37,990","9,889",direct drive,1,5,nan,97,250 miles,7.5 hrs,4.2
2022 BMW i4 eDrive40,"$56,990","9,394",direct drive,1,5,933,109,301 miles,nan,nan
2022 Audi e-tron Premium,"$56,782","14,240",direct drive,1,5,nan,78,213-225 miles,10 hrs,3.3
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$29,999",519,direct drive,1,4,743,110,114 miles,4 hrs,4.4
2023 Toyota bZ4X XLE,"$37,549",769,direct drive,1,5,"1,169",119,252 miles,nan,3.5
2022 Hyundai IONIQ 5 SE,"$43,589","3,536",direct drive,1,5,938,98,256 miles,8.5 hrs,4.5
2019 Audi e-tron Premium Plus quattro,"$44,990","10,549",direct drive,1,5,nan,nan,203-214 miles,nan,4.0
2023 Audi e-tron GT Prestige,"$109,983","1,248",automated manual,0,5,"1,036",82,245-260 miles,10.5 hrs,4.8
2023 Audi e-tron Sportback Premium S line,"$69,985",564,direct drive,1,5,"1,058",78,212-222 miles,10 hrs,3.7
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$31,589","5,995",direct drive,1,4,743,110,114 miles,4 hrs,4.4
2017 Chevrolet Bolt EV Premier Hatchback,"$24,990","21,130",direct drive,1,5,nan,119,241-266 miles,9.3 hrs,4.4
2017 smart fortwo electric drive passion Convertible,"$22,590","24,845",direct drive,3,2,nan,102,57 miles,3 hrs,4.2
2020 Chevrolet Bolt EV Premier Hatchback,"$27,589","15,761",direct drive,1,5,nan,118,230-254 miles,10 hrs,4.1
2022 Ford Mustang Mach-E Premium Hatchback,"$45,999","4,750",direct drive,1,5,nan,103,248-262 miles,8.1 hrs,4.3
2023 Nissan ARIYA Engage,"$43,997",88,direct drive,1,5,990,101,216 miles,10 hrs,4.2
2022 Chevrolet Bolt EUV Premier Hatchback,"$37,999","4,730",direct drive,1,5,nan,115,229-256 miles,7.5 hrs,4.2
2021 Porsche Taycan Turbo S,"$154,858","11,874",automated manual,1,5,"1,226",70,201 miles,10.5 hrs,3.9
2015 BMW i3 Base Hatchback,"$18,990","31,545",direct drive,5,4,715,124,66-74 miles,nan,4.1
2022 Volkswagen ID.4 Pro S (Statement),"$44,999","3,431",direct drive,1,5,937,102,262 miles,7.5 hrs,4.2
2022 Audi e-tron Premium,"$57,300","12,101",direct drive,1,5,nan,78,210-220 miles,10 hrs,3.3
2022 Kia Niro EV EX,"$33,589","7,724",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.2
2021 Volkswagen ID.4 AWD Pro S (Statement),"$43,589","7,615",direct drive,1,5,nan,93,240 miles,7.5 hrs,4.2
2015 Nissan LEAF SV Hatchback,"$14,590","40,569",direct drive,2,5,917,114,81-84 miles,nan,4.5
2019 Audi e-tron Premium Plus quattro,"$44,854","11,652",direct drive,1,5,nan,nan,202-213 miles,nan,4.0
2021 Ford Mustang Mach-E Premium Hatchback,"$49,999","8,818",direct drive,1,5,nan,93,224-244 miles,8.5 hrs,4.2
2021 Ford Mustang Mach-E Premium Hatchback,"$47,999",70,direct drive,1,5,nan,93,227-246 miles,8.5 hrs,4.2
2022 Hyundai IONIQ 5 SE,"$45,999","5,853",direct drive,1,5,938,98,256 miles,8.5 hrs,4.5
2019 Nissan LEAF SV Hatchback,"$21,990","27,644",direct drive,2,5,985,112,139-146 miles,8 hrs,4.6
2023 Toyota bZ4X XLE,"$42,788",27,direct drive,1,5,"1,169",119,252 miles,nan,3.5
2022 Kia EV6 Wind,"$43,990","14,019",direct drive,1,5,895,105,274 miles,8.4 hrs,4.3
2016 Nissan LEAF S Hatchback,"$14,990","50,536",direct drive,2,5,"1,021",114,80-83 miles,nan,4.4
2022 Hyundai IONIQ 5 SE,"$40,589","1,450",direct drive,1,5,943,114,303 miles,8.5 hrs,4.5
2016 Chevrolet Spark EV 2LT Hatchback,"$13,990","44,744",direct drive,3,4,nan,119,nan,8.5 hrs,4.8
2022 Tesla Model 3 Base,"$41,990","14,647",direct drive,1,5,nan,nan,260-261 miles,10.4 hrs,4.1
2022 Nissan LEAF SV PLUS Hatchback,"$28,990","18,819",direct drive,2,5,953,104,215 miles,11 hrs,4.1
2021 Ford Mustang Mach-E Select Hatchback,"$40,999","4,118",direct drive,1,5,nan,100,230 miles,8.8 hrs,4.2
2022 MINI Hardtop 2 Door Cooper SE Hatchback,"$31,589",544,direct drive,1,4,743,110,114 miles,4 hrs,4.4
2022 Polestar 2 Long Range Dual Motor Hatchback,"$42,990","14,765",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2022 Kia Niro EV EX,"$33,589","10,547",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.2
2022 Kia EV6 Wind,"$47,589","3,472",direct drive,1,5,895,105,274 miles,8.4 hrs,4.3
2022 Kia Niro EV EX Premium,"$38,999","3,384",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.2
2015 Nissan LEAF SL Hatchback,"$14,590","39,201",direct drive,4,5,865,114,nan,9.5 hrs,4.5
2022 Volvo C40 Recharge Twin Pure Electric Ultimate Hatchback,"$52,589","4,699",direct drive,1,5,nan,87,226 miles,8 hrs,nan
2016 Volkswagen e-Golf SE Hatchback,"$15,250","37,438",direct drive,2,5,939,116,nan,8 hrs,3.8
2022 Kia Niro EV EX Premium,"$38,589","6,345",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.2
2021 Tesla Model X Plaid,"$93,990","14,889",direct drive,1,5,nan,nan,nan,9.5 hrs,3.3
2021 Tesla Model Y Long Range,"$50,990","14,894",direct drive,1,5,nan,125,302-303 miles,10 hrs,3.8
2021 Ford Mustang Mach-E GT Hatchback,"$53,995","14,973",direct drive,1,5,nan,84,270-285 miles,10.3 hrs,4.2
2017 Kia Soul EV Base,"$16,590","38,770",direct drive,2,5,"1,032",105,nan,10.3 hrs,4.2
2022 Ford Mustang Mach-E Select Hatchback,"$43,999","5,382",direct drive,1,5,nan,93,234-250 miles,8 hrs,4.3
2017 Kia Soul EV +,"$17,590","43,333",direct drive,5,5,"1,032",105,nan,8 hrs,4.2
2021 Volkswagen ID.4 1st Edition,"$39,999","8,498",direct drive,1,5,nan,97,250 miles,7.5 hrs,4.2
2022 Hyundai IONIQ 5 SE,"$39,589","5,224",direct drive,1,5,943,114,303 miles,8.5 hrs,4.5
2022 Volkswagen ID.4 Pro,"$39,999",142,direct drive,1,5,937,107,275 miles,7.5 hrs,4.2
2023 MINI Hardtop 2 Door Cooper SE Signature Hatchback,"$31,589","3,499",direct drive,1,4,nan,nan,nan,7.5 hrs,4.4
2018 Nissan LEAF SL Hatchback,"$21,590","30,693",direct drive,2,5,945,112,139-146 miles,nan,4.4
2022 Polestar 2 Long Range Dual Motor Hatchback,"$46,999","4,038",direct drive,1,5,nan,89,249 miles,8 hrs,3.9
2021 Ford Mustang Mach-E GT Hatchback,"$57,999","3,338",direct drive,1,5,nan,84,270-286 miles,10.3 hrs,4.2
2022 Hyundai IONIQ 5 SE,"$44,589","5,724",direct drive,1,5,938,98,256 miles,8.5 hrs,4.5
2021 Ford Mustang Mach-E Premium Hatchback,"$46,589","11,977",direct drive,1,5,nan,93,245-256 miles,8.5 hrs,4.2
2021 Ford Mustang Mach-E Premium Hatchback,"$46,999","9,978",direct drive,1,5,nan,100,236-254 miles,8.8 hrs,4.2
2022 Ford Mustang Mach-E Select Hatchback,"$42,999","10,448",direct drive,1,5,nan,93,235-251 miles,8 hrs,4.3
2015 Volkswagen e-Golf SEL Premium Hatchback,"$16,990","40,840",direct drive,3,5,930,116,nan,8 hrs,3.8
2022 Hyundai IONIQ 5 SE,"$42,999","8,239",direct drive,1,5,943,114,303 miles,8.5 hrs,4.5
2018 Tesla Model S P100D,"$87,990","16,599",direct drive,1,5,nan,98,300 miles,12 hrs,4.3
2022 Kia Niro EV EX Premium,"$34,999","10,038",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.2
2022 Ford Mustang Mach-E Select Hatchback,"$43,589","2,399",direct drive,1,5,nan,103,248-262 miles,8.1 hrs,4.3
2022 Hyundai IONIQ 5 SE,"$39,999","9,308",direct drive,1,5,943,114,303 miles,8.5 hrs,4.5
2021 Tesla Model Y Performance,"$55,589","9,523",direct drive,1,5,nan,111,279-280 miles,11.8 hrs,3.8
2022 Kia Niro EV EX,"$33,589","9,621",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.2
2021 Ford Mustang Mach-E Select Hatchback,"$39,999","7,117",direct drive,1,5,nan,100,244-258 miles,8.8 hrs,4.2
2022 Kia EV6 Wind,"$49,589","11,421",direct drive,1,5,895,105,274 miles,8.4 hrs,4.3
2022 Ford Mustang Mach-E Select Hatchback,"$42,999","11,788",direct drive,1,5,nan,93,245-259 miles,8 hrs,4.3
2022 Kia Niro EV EX Premium,"$36,589","12,323",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.2
2020 Tesla Model Y Long Range,"$48,999","11,753",direct drive,1,5,nan,121,294-295 miles,10 hrs,3.5
2016 Volkswagen e-Golf SE Hatchback,"$15,990","46,810",direct drive,2,5,939,116,nan,10 hrs,3.8
2021 Volvo XC40 Recharge Pure Electric P8,"$47,999","12,328",direct drive,2,5,nan,79,208 miles,8 hrs,3.0
2015 Nissan LEAF S Hatchback,"$12,590","48,290",direct drive,3,5,950,114,77-81 miles,nan,4.5
2015 Nissan LEAF SV Hatchback,"$12,590","48,360",direct drive,2,5,917,114,80-83 miles,nan,4.5
2014 Tesla Model S P85,"$37,990","18,155",direct drive,1,5,nan,88,253 miles,nan,4.5
2019 Nissan LEAF SV Hatchback,"$22,590","33,885",direct drive,1,5,985,112,137-144 miles,8 hrs,4.6
2021 Audi e-tron Premium,"$47,982","15,809",direct drive,2,5,nan,78,210-220 miles,10 hrs,3.2
2015 Volkswagen e-Golf SEL Premium Hatchback,"$16,590","47,440",direct drive,4,5,930,116,nan,10 hrs,3.8
2015 Chevrolet Spark EV 1LT Hatchback,"$12,990","50,309",direct drive,3,4,nan,119,nan,10 hrs,4.8
2021 Tesla Model S Long Range,"$70,991","14,008",direct drive,1,5,nan,120,378 miles,15 hrs,3.1
2018 Chevrolet Bolt EV Premier Hatchback,"$26,590","24,638",direct drive,1,5,nan,119,237-262 miles,9.3 hrs,4.5
2012 Nissan LEAF SL Hatchback,"$10,990","51,691",direct drive,3,5,nan,99,56-59 miles,nan,4.0
2014 Toyota RAV4 EV Base,"$17,990","85,246",direct drive,4,5,973,76,nan,nan,4.4
2020 BMW i3 Base Hatchback,"$28,999","19,388",direct drive,1,4,nan,113,148-158 miles,7 hrs,4.6
2014 BMW i3 Base Hatchback,"$16,590","49,147",direct drive,3,4,937,124,65-73 miles,nan,3.6
2022 Kia EV6 Wind,"$49,589","11,812",direct drive,1,5,895,105,274 miles,8.4 hrs,4.3
2018 Kia Soul EV +,"$17,999","32,851",direct drive,2,5,"1,032",108,111 miles,5 hrs,4.4
2020 Jaguar I-PACE S Hatchback,"$48,880","17,896",direct drive,1,5,nan,76,234 miles,13 hrs,4.2
2022 Audi e-tron Premium Plus,"$55,985","18,469",direct drive,1,5,nan,78,212-224 miles,10 hrs,3.3
2023 MINI Hardtop 2 Door Cooper SE Signature Hatchback,"$30,999","14,060",direct drive,1,4,nan,nan,nan,10 hrs,4.4
2015 Nissan LEAF S Hatchback,"$10,990","56,526",direct drive,5,5,950,114,75-78 miles,nan,4.5
2013 Ford Focus Electric Hatchback,"$11,590","56,591",direct drive,2,5,nan,105,nan,nan,3.0
2013 Ford Focus Electric Hatchback,"$11,990","58,167",direct drive,5,5,nan,105,nan,nan,3.0
2015 Nissan LEAF SL Hatchback,"$13,990","58,491",direct drive,1,5,865,114,79-82 miles,nan,4.5
2013 Nissan LEAF SV Hatchback,"$10,990","59,267",direct drive,4,5,902,115,69-71 miles,nan,4.1
2013 Nissan LEAF SL Hatchback,"$11,990","59,597",direct drive,3,5,853,115,69-71 miles,nan,4.1
2020 Chevrolet Bolt EV LT Hatchback,"$29,000","22,559",direct drive,1,5,nan,118,259 miles,10 hrs,4.1
2016 Volkswagen e-Golf SE Hatchback,"$15,590","59,242",direct drive,3,5,939,116,nan,10 hrs,3.8
2021 Tesla Model Y Long Range,"$46,589","17,497",direct drive,1,5,nan,125,298-299 miles,10 hrs,3.8
2015 Nissan LEAF S Hatchback,"$11,590","62,779",direct drive,3,5,950,114,73-76 miles,nan,4.5
2016 Volkswagen e-Golf SE Hatchback,"$15,683","60,441",direct drive,2,5,939,116,nan,nan,3.8
2016 Volkswagen e-Golf SE Hatchback,"$13,990","85,586",direct drive,2,5,939,116,nan,nan,3.8
2015 Nissan LEAF S Hatchback,"$11,990","69,949",direct drive,2,5,950,114,78-81 miles,nan,4.5
2018 Nissan LEAF S Hatchback,"$20,590","37,059",direct drive,1,5,"1,020",112,139-146 miles,nan,4.4
2015 Chevrolet Spark EV 2LT Hatchback,"$11,990","74,439",direct drive,4,4,nan,119,nan,nan,4.8
2013 Nissan LEAF S Hatchback,"$9,990","70,138",direct drive,6,5,937,115,68-70 miles,nan,4.1
2016 Volkswagen e-Golf SEL Premium Hatchback,"$14,990","104,579",direct drive,1,5,899,116,nan,nan,3.8
2015 BMW i3 Base Hatchback,"$15,990","62,330",direct drive,3,4,715,124,64-72 miles,nan,4.1
2019 Nissan LEAF SV Hatchback,"$22,990","31,760",direct drive,2,5,985,112,148-156 miles,8 hrs,4.6
2021 BMW i3 Base Hatchback,"$34,000","20,422",direct drive,1,4,nan,113,144-155 miles,7 hrs,4.6
2022 Hyundai IONIQ 5 SE,"$41,589","14,750",direct drive,1,5,943,114,303 miles,8.5 hrs,4.5
2017 Tesla Model X 90D,"$52,590","19,801",direct drive,2,5,nan,92,241-242 miles,nan,3.9
2022 Rivian R1T Launch Edition Crew Cab,"$85,499","11,274",direct drive,1,5,nan,70,314 miles,13 hrs,3.3
2021 Volkswagen ID.4 1st Edition,"$38,589","17,808",direct drive,1,5,nan,97,250 miles,7.5 hrs,4.2
2021 Ford Mustang Mach-E Select Hatchback,"$39,999","13,148",direct drive,5,5,nan,93,231-250 miles,8.5 hrs,4.2
2022 Hyundai IONIQ 5 SE,"$42,589","16,950",direct drive,1,5,943,114,303 miles,8.5 hrs,4.5
2021 Tesla Model 3 Standard Range Plus,"$38,990","23,483",direct drive,1,5,nan,nan,263 miles,7.8 hrs,4.3
2022 Kia EV6 Wind,"$49,998","20,587",direct drive,1,5,895,105,274 miles,8.4 hrs,4.3
2021 Ford Mustang Mach-E First Edition Hatchback,"$44,590","20,688",direct drive,2,5,nan,90,271-285 miles,10.7 hrs,4.2
2020 Kia Niro EV EX,"$29,999","18,526",direct drive,1,5,"1,062",112,239 miles,9.5 hrs,4.7
2013 Tesla Model S Base,"$30,590","58,218",direct drive,3,5,nan,95,244 miles,nan,4.5
2017 Tesla Model S 60D,"$46,990","20,901",direct drive,1,5,nan,104,213 miles,nan,4.5
2014 Toyota RAV4 EV Base,"$19,990","50,665",direct drive,2,5,973,76,nan,nan,4.4
2017 Mercedes-Benz B-Class Electric Drive B 250e Hatchback,"$19,990","45,295",direct drive,3,5,nan,84,nan,nan,3.9
